ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SBAA,PA0008,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA,PA,8° 20' 55'' S,49° 18' 11'' W,199,VFR Diurno/Noturno e IFR Diurno, 08/26,1800,30,PCN 47/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBAE,SP0010,BAURU/AREALVA,BAURU E AREALVA,SP,22° 9' 28'' S,49° 4' 6'' W,594,VFR Diurno/Noturno e IFR Diurno/Noturno, 17/35,2010,45,PCN 42/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBAQ,SP0012,BARTOLOMEU DE GUSMÃO,ARARAQUARA,SP,21° 48' 16'' S,48° 8' 25'' W,711,VFR Diurno/Noturno e IFR Diurno/Noturno, 17/35,1800,30,PCN 40/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBAR,SE0001,SANTA MARIA,ARACAJU,SE,10° 59' 7'' S,37° 4' 24'' W,7,VFR Diurno/Noturno e IFR Diurno/Noturno, 11/29,2200,45,PCN 48/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBAT,MT0003,PILOTO OSVALDO MARQUES DIAS,ALTA FLORESTA,MT,9° 51' 59'' S,56° 6' 18'' W,289,VFR Diurno/Noturno e IFR Diurno/Noturno, 04/22,2500,30,PCN 29/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBAU,SP0009,ESTADUAL DARIO GUARITA,ARAÇATUBA,SP,21° 8' 39'' S,50° 25' 35'' W,415,VFR Diurno/Noturno e IFR Diurno/Noturno, 05/23,2120,35,PCN 26/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBAX,MG0008,ROMEU ZEMA,ARAXÁ,MG,19° 33' 38'' S,46° 57' 56'' W,999,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,1900,30,PCN 26/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBBE,PA0001,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,PA,1° 23' 5'' S,48° 28' 44'' W,17,VFR Diurno/Noturno e IFR Diurno/Noturno, 06/24,2800,45,PCN 65/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,-
SBBG,RS0010,COMANDANTE GUSTAVO KRAEMER,BAGÉ,RS,31° 23' 27'' S,54° 6' 35'' W,186,VFR Diurno/Noturno e IFR Diurno/Noturno, 06/24,1500,30,PCN 18/R/A/Y/T,Concreto,,,,,,,,,,,,,,,,,,,,,,,,
SBBH,MG0003,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE,MG,19° 51' 7'' S,43° 57' 2'' W,789,VFR Diurno/Noturno e IFR Diurno/Noturno, 13/31,2364,45,PCN 44/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBBI,PR0006,BACACHERI,CURITIBA,PR,25° 24' 12'' S,49° 14' 1'' W,932,VFR Diurno/Noturno e IFR Diurno/Noturno, 18/36,1390,31,PCN 21/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBBP,SP0036,ESTADUAL ARTHUR SIQUEIRA,BRAGANÇA PAULISTA,SP,22° 58' 45'' S,46° 32' 15'' W,893,VFR Diurno/Noturno, 16/34,1200,30,PCN 16/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBBR,DF0001,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,15° 52' 16'' S,47° 55' 7'' W,1066,VFR Diurno/Noturno e IFR Diurno/Noturno, 11L/29R,3200,45,PCN 76/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBBU,SP0017,BAURU,BAURU,SP,22° 20' 37'' S,49° 3' 14'' W,617,VFR Diurno/Noturno e IFR Diurno/Noturno, 14/32,1501,35,PCN 13/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBBV,RR0001,ATLAS BRASIL CANTANHEDE,BOA VISTA,RR,2° 50' 29'' N,60° 41' 32'' W,84,VFR Diurno/Noturno e IFR Diurno/Noturno, 08/26,2700,45,PCN 38/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBBW,MT0008,BARRA DO GARÇAS,BARRA DO GARÇAS,MT,15° 51' 39'' S,52° 23' 22'' W,350,VFR Diurno/Noturno e IFR Diurno/Noturno, 07/25,1598,30,PCN 20/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCA,PR0005,CORONEL ADALBERTO MENDES DA SILVA,CASCAVEL,PR,25° 0' 8'' S,53° 30' 7'' W,754,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,1615,30,PCN 36/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCB,RJ0003,CABO FRIO,CABO FRIO,RJ,22° 55' 15'' S,42° 4' 17'' W,7,VFR Diurno/Noturno e IFR Diurno/Noturno, 10/28,2550,45,PCN 76/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCD,SC0006,CARLOS ALBERTO DA COSTA NEVES,CAÇADOR,SC,26° 47' 23'' S,50° 56' 23'' W,1029,VFR Diurno/Noturno e IFR Diurno/Noturno, 02/20,1625,30,PCN 25/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
